epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7273,2.21225,13.7127,1.57539,0.52474,0.02368,0.01724,0.00721,2.56809,9.08104,2.46663,0.0675375,0.0006625,0.0006625
2,119.473,2.05331,3.04779,1.52964,0.13426,0.18801,0.12765,0.03301,2.68949,5.3589,2.05988,0.0342129,0.000671229,0.000671229
